Pipeline,F1 Score,Edit Distance with Best,Best Pipeline,Best F1 Score
"minmax,power_trans,power_trans",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"standard_with_mean_True,normalizer_norm_l1,binarizer_threshold_0.4,power_trans,power_trans,minmax",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"standardizer,power_trans,power_standardize_False,standardizer,quantile_n_quantiles_1200,quantile_distribution_uniform",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"minmax,power_standardize_True,power_standardize_True",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_1.0,power_trans,power_trans",0,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_2000,binarizer_threshold_0,quantile_trans",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
binarizer_threshold_0.4,0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_2000,maxabs,normalizer,maxabs,binarizer_threshold_0.4",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_distribution_uniform,quantile_n_quantiles_200",0.49,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_trans,power_standardize_True,binarizer_threshold_0,quantile_distribution_uniform,power_standardize_False,quantile_n_quantiles_10",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
binarizer_threshold_0.2,0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
