Pipeline,F1 Score,Edit Distance with Best,Best Pipeline,Best F1 Score
"quantile_n_quantiles_200,binarizer_threshold_0.6,quantile_n_quantiles_100",0.563636364,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer_norm_l2,binarizer_threshold_0.8,minmax,quantile_n_quantiles_2000,quantile_distribution_uniform,maxabs",0.414634146,6,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_2000,normalizer_norm_l1,quantile_n_quantiles_100,binarizer_threshold_0.4,quantile_n_quantiles_100",0.414634146,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
standardizer,0.567099567,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"normalizer_norm_l2,quantile_n_quantiles_1000,normalizer_norm_l2",0.444444444,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_100,power_standardize_False,binarizer_threshold_1.0,quantile_n_quantiles_200,quantile_n_quantiles_10,quantile_n_quantiles_100",0.414634146,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer_threshold_0.4,standard_with_mean_False,power_trans,standard_with_mean_True,minmax,standard_with_mean_True",0.44082013,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer,maxabs,normalizer_norm_max",0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
quantile_n_quantiles_10,0.494833525,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer_threshold_1.0,normalizer_norm_l2",0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_200,quantile_n_quantiles_100,standardizer,standard_with_mean_False",0.603418803,4,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"power_standardize_False,quantile_trans,quantile_n_quantiles_100",0.49,2,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"minmax,power_trans,power_trans",0.414634146,2,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"standard_with_mean_True,normalizer_norm_l1,binarizer_threshold_0.4,power_trans,power_trans,minmax",0.414634146,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"standardizer,power_trans,power_standardize_False,standardizer,quantile_n_quantiles_1200,quantile_distribution_uniform",0.414634146,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"minmax,power_standardize_True,power_standardize_True",0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"binarizer_threshold_1.0,power_trans,power_trans",0,2,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_2000,binarizer_threshold_0,quantile_trans",0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
binarizer_threshold_0.4,0.414634146,3,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
"quantile_n_quantiles_2000,maxabs,normalizer,maxabs,binarizer_threshold_0.4",0.414634146,5,"power_standardize_False,standard_with_mean_True,power_trans",0.791666667
